title,price_gbp,rating,in_stock,category
A Light in the Attic,51.77,3,True,Poetry
Tipping the Velvet,53.74,1,True,Historical Fiction
Soumission,50.1,1,True,Fiction
Sharp Objects,47.82,4,True,Mystery
Sapiens: A Brief History of Humankind,54.23,5,True,History
The Requiem Red,22.65,1,True,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True,Default
The Black Maria,52.15,1,True,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True,Default
Shakespeare's Sonnets,20.66,4,True,Poetry
Set Me Free,17.46,5,True,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,Sequential Art
Rip it Up and Start Again,35.02,5,True,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True,Music
Olio,23.88,1,True,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True,Science Fiction
Libertarianism for Beginners,51.33,2,True,Politics
It's Only the Himalayas,45.17,2,True,Travel
In Her Wake,12.84,1,True,Thriller
How Music Works,37.32,2,True,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True,Food and Drink
Chase Me (Paris Nights #2),25.27,5,True,Romance
Black Dust,34.53,5,True,Romance
Birdsong: A Story in Pictures,54.64,3,True,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True,Default
Aladdin and His Wonderful Lamp,53.13,3,True,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,True,Nonfiction
Wall and Piece,44.18,4,True,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,Nonfiction
The Elephant Tree,23.82,5,True,Thriller
The Bear and the Piano,36.89,1,True,Childrens
Sophie's World,15.94,5,True,Philosophy
Penny Maybe,33.29,3,True,Default
Maude (1883-1993):She Grew Up with the country,18.02,2,True,Default
"In a Dark, Dark Wood",19.63,1,True,Mystery
Behind Closed Doors,52.22,4,True,Thriller
You can't bury them all: Poems,33.63,2,True,Poetry
Slow States of Collapse: Poems,57.31,3,True,Poetry
Reasons to Stay Alive,26.41,2,True,Nonfiction
Private Paris (Private #10),47.61,5,True,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,Nonfiction
Without Borders (Wanderlove #1),45.07,2,True,New Adult
When We Collided,31.77,1,True,Contemporary
"We Love You, Charlie Freeman",50.27,5,True,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,4,True,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,Nonfiction
Unicorn Tracks,18.78,3,True,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,Nonfiction
This One Summer,19.49,4,True,Sequential Art
Thirst,17.27,5,True,Fiction
The Torch Is Passed: A Harding Family Story,19.09,1,True,Add a comment
The Secret of Dreadwillow Carse,56.13,1,True,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True,Food and Drink
The Past Never Ends,56.5,4,True,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True,Young Adult
The Nameless City (The Nameless City #1),38.16,4,True,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,3,True,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,True,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True,Nonfiction
